type,category,title,link
classical_art,Abstract,"Portfolio, Historic Ornament (ca 1900) ",https://artvee.com/dl/portfolio-historic-ornament/
classical_art,Abstract,O Rata (1914-1915) ,https://artvee.com/dl/o-rata/
classical_art,Abstract,Woman in an Interior,https://artvee.com/dl/woman-in-an-interior/
classical_art,Abstract,Nature Symbolized No. 1 (Roofs) (1911-12) ,https://artvee.com/dl/nature-symbolized-no-1-roofs/
classical_art,Abstract,Abstract design based on leaves and organic shapes (1900) ,https://artvee.com/dl/abstract-design-based-on-leaves-and-organic-shapes-2/
classical_art,Abstract,Fencing Match (1919) ,https://artvee.com/dl/fencing-match/
classical_art,Abstract,Stakete (Stakette) (1911–17) ,https://artvee.com/dl/stakete-stakette/
classical_art,Abstract,Final design for the cover of the almanac ‘The Blue Rider’ (1911) ,https://artvee.com/dl/final-design-for-the-cover-of-the-almanac-the-blue-rider/
classical_art,Abstract,Illustratie bij gedicht uit dichtbundel Sagesse van Paul Verlaine (1895-07) ,https://artvee.com/dl/illustratie-bij-gedicht-uit-dichtbundel-sagesse-van-paul-verlaine-2/
classical_art,Abstract,Bloemen (1912) ,https://artvee.com/dl/bloemen-8/
classical_art,Abstract,Kiefern mit roter Wolke (1909) ,https://artvee.com/dl/kiefern-mit-roter-wolke/
classical_art,Abstract,Piper (1936) ,https://artvee.com/dl/piper-2/
classical_art,Abstract,Southern Gardens (1919) ,https://artvee.com/dl/southern-gardens/
classical_art,Abstract,Le Village (1924) ,https://artvee.com/dl/le-village-4/
classical_art,Abstract,Im Zeichen Der Teilung (Under The Sign Of Division) (1940) ,https://artvee.com/dl/im-zeichen-der-teilung-under-the-sign-of-division/
classical_art,Abstract,Aafrika (1989) ,https://artvee.com/dl/aafrika/
classical_art,Abstract,Composition,https://artvee.com/dl/composition-101/
classical_art,Abstract,"Schetsblad met man, die twee paarden in bedwang houdt (1891) ",https://artvee.com/dl/schetsblad-met-man-die-twee-paarden-in-bedwang-houdt/
classical_art,Abstract,Alpine Architektur (1919) ,https://artvee.com/dl/alpine-architektur/
classical_art,Abstract,Przerys wzoru z kilimu ukraińskiego (1934) ,https://artvee.com/dl/przerys-wzoru-z-kilimu-ukrainskiego-2/
classical_art,Abstract,Embrace (1930) ,https://artvee.com/dl/embrace/
classical_art,Abstract,Sun-lit Path,https://artvee.com/dl/sun-lit-path/
classical_art,Abstract,Study for a Full-Page Illustration for a Fairytale,https://artvee.com/dl/study-for-a-full-page-illustration-for-a-fairytale/
classical_art,Abstract,Im Reich der Luft (1917) ,https://artvee.com/dl/im-reich-der-luft/
classical_art,Abstract,Häusliche Arbeit (Housekeeping) (1921) ,https://artvee.com/dl/hausliche-arbeit-housekeeping/
classical_art,Abstract,Austreibung aus dem Paradies (1919) ,https://artvee.com/dl/austreibung-aus-dem-paradies/
classical_art,Abstract,A Pool with Figures (1839) ,https://artvee.com/dl/a-pool-with-figures/
classical_art,Abstract,"Formes circulaires, lune no. 1 (1913) ",https://artvee.com/dl/formes-circulaires-lune-no-1/
classical_art,Abstract,Composition no. 23 (1915) ,https://artvee.com/dl/composition-no-23/
classical_art,Abstract,Komposisjon i blått (1947) ,https://artvee.com/dl/komposisjon-i-blatt-2/
classical_art,Abstract,Maisons rurales en hiver (1928) ,https://artvee.com/dl/maisons-rurales-en-hiver/
classical_art,Abstract,"The Three Windows, the Tower and the Wheel (1912) ",https://artvee.com/dl/the-three-windows-the-tower-and-the-wheel/
classical_art,Abstract,Composition with Grid 1 (1918) ,https://artvee.com/dl/composition-with-grid-1/
classical_art,Abstract,Schützerin (Protectress) (1932) ,https://artvee.com/dl/schutzerin-protectress-3/
classical_art,Abstract,"Aus meinem Leben, 50 Blätter XXIII (1923) ",https://artvee.com/dl/aus-meinem-leben-50-blatter-xxiii/
classical_art,Abstract,Gruppe pointilliert (1930) ,https://artvee.com/dl/gruppe-pointilliert/
classical_art,Abstract,Ontwerp voor raam in het Noordertransept in de Dom te Utrecht 2 (ca. 1878-1938) ,https://artvee.com/dl/ontwerp-voor-raam-in-het-noordertransept-in-de-dom-te-utrecht-2/
classical_art,Abstract,Strange Garden (1923) ,https://artvee.com/dl/strange-garden/
